question,explication
Why were women given the right to vote?,"In 1918, women over the age of 30 were given voting rights and the right to stand for Parliament, partlyin recognition of the contribution women made to the war effort during the First World War."
What do you need to drive in the UK?,"In the UK, you must havea driving licenceto drive on public roads."
Where does “the Fringe” festival take place?,"The Edinburgh Festival takes place inEdinburgh, Scotland, every summer. It is a series of different arts and cultural festivals, with the biggest and most well-known being the Edinburgh Festival Fringe (‘the Fringe’)."
How many members does the Welsh government have?,There are60 membersof the Welsh government or members of the Senedd (SMs) and elections are held every four years using a form of proportional representation.
The names or photographs of  young people found guilty of a crime can be published in newspapers or used by the media.,"False. Members of the public are not allowed in Youth Courts, andthe name or photographs of the accused young person cannot be published in newspapers or used by the media."
What was Edward Elgar famous for?,Sir Edward Elgar (1857-1934) was amusician. His best known work is probably the Pomp and Circumstance Marches. March No1 (Land of Hope and Glory) is usually played at the Last Night of the Proms at the Royal Albert Hall.
Which of the following is not a British banknote?,There are no£25notes in the UK.
Where does the Scottish Grand National take place?,The Scottish Grand National takes place atAyr.
The laws passed after the Glorious Revolution marked the beginning of the ______.,The laws passed after the Glorious Revolution marked the beginning of theconstitutional monarchy.
"During the reign of Elizabeth I, a large fleet of ships was sent to England to conquer the country and to restore Catholicism, where did this fleet come from?","Elizabeth I became one of the most popular monarchs in English history, particularly after 1588, when the English defeated the Spanish Armada (a large fleet of ships), which had been sent bySpainto conquer England and restore Catholicism."
What did the Habeas Corpus Act introduce?,The Habeas Corpus Act became law in 1679. This was a very important piece of legislation which remains relevant today. Habeas corpus is Latin for ‘you must present the person in court’. The Act guaranteed that no one could be held prisoner unlawfully.Every prisoner has a right to a court hearing.
What did Emmeline Pankhurst fight for?,"Emmeline Pankhurst she set up the women’s Franchise League in 1889, which fought to get the vote in local elections for married women. In 1903 she helped found the Women’s Social and Political Union (WSPU). This was the first group whose members were called ‘suffragettes’. The group used civil disobedience as part of their protestto gain the vote for women. In 1918, women over the age of 30 were given voting rights and the right to stand for Parliament, partly in recognition of the contribution women made to the war effort during the First World War."
What is “the Proms”?,"The Proms isan eight-week summer season of orchestral classical musicthat takes place in various venues, including the Royal Albert Hall in London."
What was Isaac Newton known for?,"Newton‘s most famous published work was Philosophiae Naturalis Principia Mathematica (‘Mathematical Principle of Natural Philosophy’), which showed howgravityapplied to the whole universe."
When did the WWI come to an end?,The World War I ended in1918.
Who built a wall in the north of England to keep out the Picts (ancestors of the Scottish people)?,TheEmperor Hadrianbuilt a wall in the north of England to keep out the Picts (ancestors of the Scottish people).
Which two universities participate in an annual rowing race that takes place on the River Thames?,"Rowing is also popular, both as a leisure activity and as a competitive sport. There is a popular yearly race on the Thames betweenOxford and Cambridge Universities."
Does Britain have a written constitution?,"The British constitution is not written down in any single document, and therefore it is described as‘unwritten’."
Is St Helena part of the UK?,"British overseas territories, such as St Helena and the Falkland Islands are linked to the UK but arenot part of it."
Where is Theatreland?,"London’s West End, also known as ‘Theatreland’, is particularly well known for its theatres."
What is the name of the UK currency?,The currency in the UK is thepound sterling(symbol £).
What other name is given to Diwali?,Diwali is often calledthe Festival of Lights.
What is the Enlightenment?,"The Enlightenment wasa periodduring the 18th centurywhen new ideas about politics, philosophy and science were developed."
Which of the following charities helps the environment?,Friends of the Earthis an environmental charity.
Which of the following was a crucial aerial battle fought between Germany and Britain during WWII?,The correct answer isthe Battle of Britain.
What was Margaret Thatcher famous for?,Margaret Thatcher wasthe first woman Prime Minister of the UK.
Which two languages combined to become one English language?,"After the Norman Conquest, the king and his noblemen had spokenNorman Frenchand the peasants had continued to speakAnglo-Saxon. Gradually these two languages combined to become one English language."
"By law, radio and television coverage of the political parties must be balanced and so equal time has to be given to rival viewpoints.",This statement istrue.
Where did the Spanish Armada come from?,"In 1588 the English defeated the Spanish Armada (a large fleet of ships), which had been sent bySpainto conquer England and restore Catholicism."
What is the name of the War Memorial located in Whitehall?,The Cenotaphis a war memorial located in Whitehall.
The UK government has never suspended the Northern Ireland Assembly.,False. The Northern Ireland Assembly has been suspended on a few occasions.
What kind of church did Scotland establish in 1560?,"In 1560, the predominantly Protestant Scottish Parliament abolished the authority of the Pope in Scotland and Roman Catholic religious services became illegal.A Protestant Churchof Scotland with an elected leadership was established but, unlike in England, this was not a state Church."
When was the Domesday Book written?,"William the conqueror sent people all over England to draw up lists of all the towns and villages. The people who lived there, who owned the land and what animals they owned were also listed. This was called the Domesday Book, which gives a picture of society in England justafter the Norman Conquest."
The Northern Ireland Assembly cannot make decisions on which two of the following issues?,"The Northern Ireland Assembly can make decisions on issues such as: education, agriculture, the environment health and social services, but it cannot make decisions onimmigration or defenceissues."
What should you do to make a complaint about the police (choose two answers)?,"Anyone can make a complaint about the policeby going to a police station and writing to the Chief Constable of the police force involved. Complaints can also be made to an independent body: the Independent Police Complaints Commission in England and Wales, the Police Complaints Commissioner for Scotland or the Police Ombudsman for Northern Ireland."
What flower did William Wordsworth write about?,William Wordsworth wrote‘The Daffodils’.
When is St Andrew’s day celebrated?,"St Andrew’s day, patron of Scotland, is celebrated on the30th of November."
Who was the architect that rebuilt Saint Paul’s cathedral after the Great Fire in 1666?,"In 1666, a great fire destroyed much of the city, including many churches and St Paul’s Cathedral. London was rebuilt with a new St Paul\\\\\\\'s, which was designed by a famous architect,Sir Christopher Wren."
When were the first coins in Britain made?,The people ofthe Iron Agemade the first coins to be minted in Britain.
Who was Emmeline Pankhurst?,"Emmeline Pankhurst was born in Manchester in 1858. She set up the women’s Franchise League in 1889, which fought to get the vote in local elections for married women. In 1903 she helped found the Women’s Social and Political Union (WSPU). This was the first group whose members were called‘suffragettes’."
Who did Britain fight against in the Crimean War?,"From 1853 to 1856, Britain fought with Turkey and France againstRussiain the Crimean War."
How old do you have to be to buy alcohol in the UK?,It is a criminal offence to sell alcohol to anyone who is under 18 or to buy alcohol for people who are under the age of18. (There is one exception: people aged 16 or over can drink alcohol with a meal in a hotel or restaurant).
Which of the following is a Crown Dependency but not part of the UK?,The Channel Islands andthe Isle of Manare closely linked with the UK but are not part of it. They have their own governments and are called ‘Crown dependencies‘.
Is the BBC controlled by the government?,The BBC is the largest broadcaster in the world. It is the only wholly state-funded media organisation that isindependent of government.
How many members does the Northern Ireland Assembly have?,"The Northern Ireland Assembly has90elected members, known as MLAs (members of the Legislative Assembly)."
Who was in charge of the British fleet at the Battle of Trafalgar?,Admiral Nelsonwas in charge of the British fleet at Trafalgar and was killed in the battle.
What was inscribed in the first coins to be minted in Britain during the Iron Age?,"The people of the Iron Age made the first coins to be minted in Britain, some inscribed withthe names of Iron Age kings."
"Towns, cities and rural areas in the UK are governed by government appointed officials.","False.Towns, cities and rural areas in the UK are governed bydemocratically elected councils, often called ‘local authorities‘."
Where is the Tate Art Gallery located?,The Tate Britain and Tate Modern are inLondon.
The version of the Bible created by King James I is known as:,One achievement of King James‘ reign was a new translation of the Bible into English. This translation is known as the ‘King James Version‘ or the ‘Authorised Version‘.
What is the period of the 1960s known for?,"The decade of the 1960s was a period of significant social change. It was known as the ‘Swinging Sixties’. There wasgrowth in British fashion, cinema and popular music."
"Between 1680 and 1720 many refugees called Huguenots came to England, which country did they come from?",Between 1680 and 1720 many refugees called Huguenots came fromFrance.
What is the most famous tennis tournament played in the UK?,"The most famous tournament hosted in Britain isThe Wimbledon Championships, which takes place each year at the All England Lawn Tennis and Croquet Club."
MPs can only be contacted at their office in the House of Commons.,"False. You can contact MPsby letter or telephone at their constituency office, or at their office in the House of Commons. In addition, many MPs, SMs and MSPs hold regular local ‘surgeries‘, where constituents can go in person to talk about issues that are of concern to them."
What is the day when jokes are published in newspapers and telecast on TV?,"April Fool‘s Day, 1 April, is a day when people play jokes on each other until midday. The television and newspapers often have stories that are April Fool jokes."
Which Scottish king defeated the English at the Battle of Bannockburn?,"In 1314 the Scottish, led byRobert the Bruce, defeated the English at the Battle of Bannockburn, and Scotland remained unconquered by the English."
Who invented the World Wide Web?,The inventor of the World Wide Web wasSir Tim Berners-Lee.
How are civil servants appointed and what political party do they belong to?,Civil servants arechosen on merit and are politically neutral– they are not political appointees.
What is known as the “Dunkirk spirit”?,"During WWII as France fell, the British decided to evacuate British and French soldiers from France in a huge naval operation. Many civilian volunteers in small pleasure and fishing boats from Britain helped the Navy to rescue more than 300,000 men from the beaches around Dunkirk."
You have to be at least 21 years old to serve on a jury.,False. Anyone who is on the electoral register and is aged18to 70 can serve on a jury.
"If you wish to be a permanent resident or citizen of the UK, you should (choose TWO answers):","If you wish to be a permanent resident or citizen of the UK, you should:respect the rights of others, including their right to their own opinions, look after yourself and your family, respect and obey the law, treat others with fairness and look after the area in which you live and the environment."
Which of the following major sports event took place in the UK in 2012?,"The UK has hostedthe Olympic gameson three occasions: 1908, 1948 and 2012."
Charles I believed in the ’Divine Right of Kings’ so he tried:,Charles I believed in the ’Divine Right of Kings’: the idea that the king was directly appointed by God to rule. He thought that the king should be able to act without having to seek approval from Parliament andhe tried to rule without the Parliament.
What is the Union Jack?,"The Union Flag,the Flag of the United Kingdomis also known as the Union Jack."
Who was voted the greatest Briton of all time in 2002?,In 2002Winston Churchillwas voted the greatest Briton of all time by the public.
Which of the following statements is true:,Women in Britain today make upabout half of the workforce.
When is St George’s day?,"St George’s day, patron of England is celebrated on the23rd of April."
Which is the largest National Park in England?,The Lake Districtis England’s largest national park.
"Boudicca, was a tribal leader who fought against which foreign invaders?","One of the tribal leaders who fought againstthe Romanswas Boudicca, the queen of the Iceni."
Which of the following poems is about a group of people going on a pilgrimage?,"Geoffrey Chaucer wrote a series of poems in English about a group of people going to Canterbury on a pilgrimage. The people decided to tell each other stories on the journey, and the poems describe the travellers and some of the stories they told. This collection of poems is calledThe Canterbury Tales."
How are public holidays called?,"There are public holidays each year calledbank holidays, when banks and many other businesses are closed for the day."
How did Charles II manage to escape to Europe after his defeat in the Civil War?,"Charles II escaped from Worcester, famouslyhiding in an oak treeon one occasion, and eventually fled to Europe."
Who defeated the Vikings?,"The Anglo-Saxon kingdoms in England united underKing Alfred the Great, who defeated the Vikings."
Who was William Caxton?,William Caxton wasthe first person in England to print books using a printing press.
Where do Beefeaters serve as tour guides?,Beefeaters serve as tour guides atthe Tower of London.
"During the rebellion of the clans in Scotland, Bonnie Prince Charlie was supported by clansmen from which Scottish region?",Charles Edward Stuart (Bonnie Prince Charlie) was supported by clansmen fromthe Scottish Highlands.
What religion did Elizabeth I follow?,Elizabeth the I was aprotestant.
Who became famous for his tramp character in silent movies?,Charlie Chaplinbecame famous in silent movies for his tramp character.
Which armed force was used in the Battle of Britain?,The correct answer isthe Royal Air Force.
"In the UK, you have to be 21 years old to be able to vote in a general election.",False. The present voting age of18was set in 1969 and (with a few exceptions) all UK-born and naturalised adult citizens have the right to vote.
Which of the following poets was inspired by nature?,"British poets, includingWilliam Wordsworth, were inspired by nature."
Against which country did Britain fight at the Battle of Waterloo?,"In 1815, theFrenchWars ended with the defeat of the Emperor Napoleon by the Duke of Wellington at the Battle of Waterloo."
Who was William Wilberforce?,"William Wilberforce, an evangelical Christian and a member of Parliament, also played an important part in changing the law. Along with other abolitionists (people who supported the abolition of slavery), he succeeded in turning public opinion against the slave trade."
Who is the spiritual leader of the Church of England?,The spiritual leader of the Church of England isthe Archbishop of Canterbury.
James I was King of which country before becoming King of England?,"When Elizabeth I died, her cousinJames VI of Scotland became King James I of England, Wales and Irelandand Scotland remained a separate country."
Which of the following statements is correct?,"Most shops in the UK are open seven days a week, although trading hours on Sundays and public holidays are generally reduced."
Which country sent a fleet of ships to England in 1588?,"Elizabeth became one of the most popular monarchs in English history, particularly after 1588, when the English defeated the Spanish Armada (a large fleet of ships), which had been sent bySpainto conquer England and restore Catholicism."
Where is the National Horseracing Museum located?,"There is a National Horseracing Museum inNewmarket, Suffolk."
Which of the following castles is located in Scotland?,Crathes Castleis located in Scotland.
Who was a famous Art Deco ceramic designer?,"Britain has produced many great designers, from Thomas Chippendale (who designed furniture in the 18th century) toClarice Cliff(who designed Art Deco ceramics) to Sir Terence Conran (a 20th-century interior designer)."
When is St Patrick’s day celebrated?,"St Patrick’s day, patron of Northern Ireland is celebrated on the17th of March."
How are the members of the Northern Ireland Parliament elected?,"The Northern Ireland Assembly has 90 elected members, known as MLAs (members of the Legislative Assembly). They are electedwith a form of proportional representation."
Who was the first British Prime Minister?,"The most important minister in Parliament became known as the Prime Minister. The first man to be called this wasSir Robert Walpole, who was Prime Minister from 1721 to 1742."
Which of the following actresses has not won an Oscar?,"British actors to have won Oscars include Colin Firth, Sir Antony Hopkins, Dame Judi Dench, Kate Winslet and Tilda Swinton.Emily Watson has not won an Oscar yet."
"During the Enlightenment, Adam Smith developed ideas about:",During ’the Enlightenment’ Adam Smith developed ideas abouteconomicswhich are still referred to today.
Who died at the Battle of Trafalgar?,Admiral Nelsonwas in charge of the British fleet at Trafalgar and was killed in the battle.
When is Hogmanay celebrated?,"In Scotland,the 31st of Decemberis called Hogmanay."
Proceedings in Parliament are broadcast on television and published in official reports known as:,Proceedings in Parliament are broadcast on television and published in official reports calledHansard.
Which of the following is a rugby competition?,"The most famous rugby union competition isthe Six Nations Championshipbetween England, Ireland, Scotland, Wales, France and Italy."
Who appoints life peers in the House of Lords?,Life peers are appointed bythe monarchon the advice of the Prime Minister.
Who mapped the coast of Australia?,Captain James Cookmapped the coast of Australia and a few colonies were established there.
What was the first war to be extensively covered by the media?,The Crimean Warwas the first war to be extensively covered by the media through news stories and photographs.
Which of the following monuments is located in Wiltshire?,Stonehengestands in what is now the English county of Wiltshire.
Who was the first Archbishop of Canterbury?,"St Augustineled missionaries from Rome, who spread Christianity in the south. St Augustine became the first Archbishop of Canterbury."
How old do you have to be to go into betting shops or gambling clubs?,You have to be18to go into betting shops or gambling clubs.
The system of government in the UK is a parliamentary democracy.,This statement istrue.
What is the traditional food of Northern Ireland?,Ulster fryis the correct answer.
Who was elected as British Prime Minister in 1945?,In 1945 the British people elected a Labour government. The new Prime Minister wasClement Attlee.
How many times has the UK hosted the Olympic games?,"The UK has hosted the Olympic games onthreeoccasions: 1908, 1948 and 2012."
Why were canals built during the Industrial Revolution?,"Canals were builtto link the factories to towns and cities and to the ports, particularly in the new industrial areas in the middle and north of England."
Are civil servants appointed by the government?,Civil servantsare accountable to ministers. They are chosen on merit and are politically neutral – theyare not political appointees.
Which of the following countries helped Britain to develop the Concorde?,"Britain andFrancedeveloped the world’s only supersonic commercial airliner, Concorde."
Which invention led to the development of Britain during the Industrial Revolution?,The Industrial Revolution was the rapid development of industry in Britain in the 18th and 19th centuries. Britain was the first country to industrialise on a large scale. It happened because of the development of machinery and the use ofsteam power.
Who was the tribal leader who fought against the Romans?,One of the tribal leaders who fought against the Romans wasBoudicca.
Which two languages were used across England during the Middle Ages?,"The Middle Ages saw the development of a national culture and identity. After the Norman Conquest, the king and his noblemen had spokenNorman Frenchand the peasants had continued to speakAnglo-Saxon."
"In 1776, which British colonies declared their independence because they demanded that there should be ‘no taxation without representation‘.","In 1776, 13North Americancolonies declared their independence, stating that people had a right to establish their own governments."
When was England ruled by a republic and not by a monarch?,"When Charles I was executed, England declared itself a republic, called the Commonwealth. It no longer had a monarch."
Which film produced in the UK was one of the most commercially successful films of all time and one of the highest-grossing film franchises?,"Some of the most commercially successful films of all time, including the two highest-grossing film franchises (Harry Potterand James Bond), have been produced in the UK."
When did the first farmers come to Britain?,"The first farmers arrived in Britain6,000 years ago."
When did the First World War end?,The First World War endedat 11.00 am on 11th November 1918with victory for Britain and its allies.
Can court orders be obtained to protect a person from being forced into a marriage?,"True. Court orders can be obtained to protect a person from being forced into a marriage, or to protect a person in a forced marriage."
What medal did Mary Peters win in the 1972 Olympics?,"Born in Manchester, Mary Peters moved to Northern Ireland as a child. She was a talented athlete who wonan Olympic gold medalin the pentathlon in 1972."
"In England, Wales and Northern Ireland Youth Court cases are normally heard by (choose TWO answers)?","In England, Wales and Northern Ireland, if an accused person is aged 10 to 17, the case is normally heard in a Youth Court in front ofup to three specially trained magistrates or a District Judge."
What was invented by Alan Turing in the 1930s?,"ATuring machineis a theoretical mathematical device invented by Alan Turing (1912-54), a British mathematician, in the 1930s."
Which of the following tells us about how people lived in England just after the Norman Conquest?,"William sent people all over England to draw up lists of all the towns and villages. The people who lived there, who owned the land and what animals they owned were also listed. This was calledthe Domesday Book. It still exists today and gives a picture of society in England just after the Norman Conquest."
Who led a team of scientists to ‘split the atom‘ for the first time?,"Scientists led byErnest Rutherford, working at Manchester and then Cambridge University, were the first to ‘split the atom‘ and took part in the Manhattan Project in the United States, which developed the atomic bomb."
What song is sung by people in the UK and other countries when they are celebrating the New Year?,"The song Auld Lang Syne, which is sung by people in the UK and other countries when they are celebrating the New Year (or Hogmanay as it is called in Scotland)."
Who fought in the English Civil war of 1642?,The Civil war between the king and Parliament began in 1642. The country split into those who supported the king (the Cavaliers) and those who supported Parliament (the Roundheads).
Which two of these forts were part of Hadrian‘s wall?,"Parts of Hadrian‘s Wall, include the forts ofHousesteads and Vindolanda."
What was the religion of the Puritans?,The Puritans were a group ofProtestantswho advocated strict and simple religious doctrine and worship.
What is the name of Irish people who favoured complete independence from the UK in the 19th century?,"The Irish Nationalist movement had grown strongly through the 19th century. Some, such asthe Fenians, favoured complete independence."
Which two British pop music groups were famous during the Swinging Sixties?,"The decade of the 1960s was a period of significant social change. It was known as the ‘swinging sixties’. There was growth in British fashion, cinema and popular music. Two well-known pop music groups at the time wereThe BeatlesandThe Rolling Stones."
What is the minimum age required to drive a motorcycle?,"In the UK, you must be at least17years to drive a car or motorcycle and you must have a driving licence to drive on public roads."
"The members of the House of Lords, known as peers, are elected by the people.","False. The members of the House of Lords, known as peers,are not elected by the people."
When did the Emancipation Act abolish slavery throughout the British Empire?,In1833the Emancipation Act abolished slavery throughout the British Empire.
"Who is responsible for crime, policing and immigration?","The Home Secretaryis responsible for crime, policing and immigration."
What kind of genre was the film Wallace and Gromit created by Nick Park?,"Nick Park won four Oscars for hisanimated films, including three for films featuring Wallace and Gromit."
"Anyone who is violent towards their partner – whether they are a man or a woman, married or living together – can be prosecuted.","True. Anyone who is violent towards their partner – whether they are a man or a woman, married or living together – can be prosecuted."
When was the United Nations set up?,The UN was set upafter the Second World Warand aims to prevent war and promote international peace and security.
Where is the Giant’s Causeway located?,The Giant’s Causeway is a land formation of columns made from volcanic lava locatedon the north-east coast of Northern Ireland. It was formed about 50 million years ago. There are many legends about the Causeway and how it was formed.
"What happened to Mary, Queen of Scots, after being sent to prison for 20 years by her cousin Queen Elizabeth I?","Mary was executed, accused of plotting against Elizabeth I."
Which tribe came to Britain from northern Europe after the Romans left in AD 410?,"Britain was invaded by tribes from northern Europe:the Jutes,the Angles and the Saxons."
What is one of the highest-grossing film franchises produced in the UK?,"Some of the most commercially successful films of all time, including the two highest-grossing film franchises (Harry Potter andJames Bond), have been produced in the UK."
"Who can hear cases in Youth Courts in England, Wales and Northern Ireland (two answers)?","In England, Wales and Northern Ireland, if an accused person is aged 10 to 17, the case is normally heard in a Youth Court in front ofup to three specially trained magistrates or a District Judge. The most serious cases will go the Crown Court. The parents or carers of the young person are expected to attend the hearing. Members of the public are not allowed in Youth Courts, and the name or photographs of the accused young person cannot be published in newspapers or used by the media."
Who came from the Netherlands to become the British monarch?,"In May 1660, Parliament invitedCharles IIto come back from exile in the Netherlands. He was crowned King Charles II of England, Wales, Scotland and Ireland."
Who can apply for the National Citizen Service programme?,"The National Citizen Service programme gives16- and 17-year-oldsthe opportunity to enjoy outdoor activities, develop their skills and take part in a community project."
"Nick Park has won four Oscars for his animated films, including three for films featuring:","Nick Park, who has won four Oscars for his animated films, including three for films featuringWallace and Gromit."
Who was the British scientist who co-discovered the structure of the DNA molecule in the 1950s?,"The structure of the DNA molecule was discovered in 1953 through work at British universities in London and Cambridge. This discovery contributed to many scientific advances, particularly in medicine and fighting crime.Francis Crick(1916-2004), was one of those awarded the Nobel Prize for this discovery."
What percentage of the UK population has a parent or grandparent born outside of the UK?,Nearly 10%of the population has a parent or grandparent born outside the UK.
How old do you have to be to drive a moped in the UK?,"In the UK, you need to be at least16 years oldto ride a moped, and there are other age requirements and special tests for driving large vehicles."
Who was the leader of the Labour Party who introduced a Scottish Parliament and a Welsh Assembly?,In 1997 the Labour Party led byTony Blairwas elected. The Blair government introduced a Scottish Parliament and a Welsh Assembly.
What is the maximum amount you can claim through the small claims procedure in Scotland and Northern Ireland?,"The small claims procedure is an informal way of helping people to settle minor disputes without spending a lot of time and money using a lawyer. This procedure is used for claims of less than £10,000 in England and Wales,£5,000 in Scotland and Northern Ireland."
Which historical monument did William the Conqueror build?,"The White Towerin the Tower of London is an example of a Norman castle keep, built on the orders of William the Conqueror."
Who became Prime Minister after Margaret Thatcher and played an important part in the Northern Ireland peace process?,John Majorbecame Prime Minister after Margaret Thatcher and played an important part in the Northern Ireland peace process.
Who should you contact to report a terrorist activity?,"If you think someone is trying to persuade you to join an extremist or terrorist cause, you should notifyyour local police force."
"Which Paralympic athlete has won gold medals for swimming at the 2008, 2012 and 2016 Paralympic Games?","Ellie Simmondsis a Paralympian who won gold medals for swimming at the 2008, 2012 and 2016 Paralympic Games and holds a number of world records. She was the youngest member of the British team at the 2008 Games."
"Each of the UK countries is associated with a flower symbol, which country is associated with the rose?","The countries that make up the UK all have flowers which are particularly associated with them and which are sometimes worn on national saints’ days. The flowers associated to each country are as follows:England – the rose, Scotland – the thistle, Wales – the daffodil and Northern Ireland – the shamrock."
Isambard Kingdom Brunel was responsible for:,"Brunel was originally from Portsmouth, England. He was an engineer who built tunnels, bridges, railway lines and ships. He was responsible forconstructing the Great Western Railway, which was the first major railway built in Britain. It runs from Paddington Station in London to the south west of England, the West Midlands and Wales."
What is the Commonwealth?,"The Commonwealth isan association of countries that support each other and work together towards shared goals in democracy and development.Most member states were once part of the British Empire, although a few countries which were not have also joined."
Under which name was the movement of opinion against the authority of the Pope during the times of Henry VIII known?,The correct answer is theReformation.
What did Isaac Newton discover?,"Newton’s most famous published work was Philosophiae Naturalis Principia Mathematica (‘Mathematical Principle of Natural Philosophy’), which showed howgravityapplied to the whole universe. Newton also discovered that white light is made up of the colours of the rainbow."
What kind of movies did Academy Award winner Nick Park specialise in?,"Britain continues to be particularly strong in special effects and animation. One example is the work of Nick Park, who has won four Oscars for hisanimated films, including three for films featuring Wallace and Gromit."
Which of the following is not a constitutional institution?,"Constitutional institutions in the UK include: the monarchy, the Parliament (the House of Commons and the House of Lords), the Prime Minister, the cabinet, the judiciary (courts), the police, the civil service  and the local government. Thearmed forcesare not a constitutional institution."
What food shortage caused the famine in Ireland?,"In the middle of the centurythe potatocrop failed, and Ireland suffered a famine. A million people died from disease and starvation."
The leader of the opposition appoints senior opposition MPs. They form a group whose role is to challenge the government and put forward alternative policies. What are they called?,The leader of the opposition appoints senior opposition MPs to be ‘shadow ministers’. Their role is to challenge the government and put forward alternative policies. They formthe shadow cabinet.
Which of the following are TWO responsibilities of the MPs?,"MPs responsibilities include:to represent everyone in their constituency, to help to create new laws, to scrutinise and comment on what the government is doing and to debate important national issues."
Who was the longest serving PM in the 20th century?,"Margaret Thatcherwas the first woman Prime Minister of the UK. She was the longest-serving Prime Minister of the 20th century, remaining in office from 1979 until 1990."
What name is given to the territories which are linked to the UK but not part of it?,There are several islands which are closely linked with the UK but are not part of it: the Channel Islands and the Isle of Man. These have their own governments and are called‘Crown dependencies’.
What area did David Hume contribute to during the Enlightenment?,David Hume wasa famous philosopherwho developed ideas about human nature during the 18th century and that have continued to influence philosophers over the years.
What proportion of the population died as a result of the Black Death in England?,"As a result of the Black Death,one third of the population of Englanddied and a similar proportion in Scotland and Wales."
What happened to Charles I after he was in prison?,"Charles I’s army was defeated at the Battles of Marston Moor and Naseby. Charles was held prisoner by the parliamentary army. As he was unwilling to reach any agreement with the Parliament, in 1649he was executed."
What are TWO responsibilities of the monarch?,"The monarch does not rule the country but appoints the government, which the people have chosen in a democratic election. The monarch also has regular meetings with the Prime Minister and can advise, warn and encourage, but the decisions on government policies are made by the Prime Minister and cabinet."
What kind of disaster was the Black Death?,"The Black Death was a disease, probably a form ofplague, that came to Britain in 1348."
What country was in conflict with the UK for trading reasons during the 18th century?,"During the 18th century, trading and settlements overseas sometimes brought Britain into conflict with other countries, particularlyFrance, which was expanding and trading in a similar way in many of the same areas of the world."
"The Speaker is an MP, he or she represents a constituency and deals with the constituents.",This statement istrue.
"Where is Skara Brae, the best preserved prehistoric village in northern Europe, located?","Skara Brae onOrkney, off the north coast of Scotland, is the best preserved prehistoric village in northern Europe."
Which of the following plays was written by William Shakespeare?,William Shakespeare’s most famous plays includeMacBeth.
Where was William the Conqueror from?,"William the Conqueror was the Duke of Normandy (now northernFrance). He defeated Harold, the Saxon king of England, at the Battle of Hastings in 1066."
How do you call the settlers from the Netherlands who went to war with the British in South Africa?,The British went to war in South Africa with settlers from the Netherlands called theBoers. The Boers fought fiercely and the war went on for over three years.
"In Northern Ireland, up to three specially trained magistrates or a District Judge are required for Youth Court cases.",This statement istrue.
What made Roger Bannister famous?,"Sir Roger Bannisterwas the first man in the world to run a mile in under four minutes, in 1954."
Who was invited to invade and rule England in 1688?,"In 1688, important Protestants in England askedWilliam of Orangeto invade England and proclaim himself king."
Who was defeated at the Battle of the Boyne?,William of Orange defeatedJames IIat the Battle of the Boyne in Ireland in 1690.
What did the Factories Act of 1847 introduce?,The Factories Act of 1847limited the number of hours that women and children could work to 10 hours per day.
What name is given to the group of MPs from the opposition?,Opposition MPs form theshadow cabinetand their role is to challenge the government and put forward alternative policies.
In which of the following matters can the Scottish Parliament legislate?,"The Scottish Parliament can legislate on: civil and criminal law, health,education, planning and additional tax-raising powers."
